R, bias, L, W, Gain
80346.9, 0.9062, 5.38079e-06, 1.58583e-06, -5.29608 
941.851, 1.37145, 5.43759e-06, 5.5e-06, 15.963 
95714.8, 1.60894, 9.86855e-06, 6.76093e-07, -1.16864 
90978.6, 1.40176, 3.23805e-07, 4.30172e-06, 40.674 
54132.7, 0.744744, 3.95951e-06, 5.23189e-06, -11.0567 
92644, 1.58984, 4.26786e-06, 7.42956e-06, 29.4031 
84961.2, 1.52749, 6.37266e-06, 9.06778e-06, 25.7145 
71962.1, 1.39972, 3.04622e-06, 5.07684e-06, 22.2253 
53347.8, 0.935058, 2.87164e-06, 9.80823e-06, 8.78557 
23077.8, 1.03665, 7.32513e-07, 8.99929e-06, 16.8028 
35569.4, 1.26225, 4.88109e-06, 9.1502e-06, 12.8926 
33184.3, 0.691443, 6.43549e-06, 6.82136e-06, -2.79086 
2789.39, 1.0616, 3.24138e-06, 4.63871e-06, 7.00238 
89429.6, 1.17547, 8.88257e-06, 5.21822e-06, 6.28704 
46250.7, 0.881945, 7.39317e-06, 1.2266e-06, 5.54687 
47547.6, 1.09285, 9.61645e-06, 1.75995e-06, 0.0847428 
44152.8, 1.19777, 2.4702e-06, 1.24729e-06, -8.20192 
70574.2, 1.65565, 2.39545e-06, 7.85252e-06, 33.7145 
7814.35, 1.44967, 2.59255e-06, 9.93997e-06, 9.31802 
61148.1, 1.11211, 3.48306e-06, 6.71965e-06, 13.281 
14393.4, 1.25093, 8.86062e-07, 4.77415e-06, 11.6683 
93007.6, 1.02388, 3.32309e-06, 8.26172e-06, 16.7186 
52505.1, 1.18986, 5.45883e-06, 6.67751e-07, 2.55278 
92286.4, 1.05361, 7.14702e-06, 7.87879e-06, 9.29241 
48717.6, 1.18758, 5.73476e-06, 9.18091e-06, 12.0493 
46952.5, 1.29518, 6.57538e-06, 1.26439e-06, -1.79175 
81792.7, 0.682768, 1.8788e-06, 8.95077e-06, -21.5533 
58184, 0.706508, 7.91551e-06, 3.92227e-06, -1.50025 
27325.2, 0.619683, 8.48979e-06, 3.37401e-06, 13.5868 
51607.6, 1.17213, 4.3027e-06, 7.88829e-06, 13.4416 
47894.2, 1.58488, 1.86439e-06, 2.13588e-06, 18.1346 
65264.6, 1.38221, 5.42859e-06, 9.26895e-06, 21.6054 
58914.2, 0.644238, 2.54473e-06, 3.328e-06, -4.25875 
81434.5, 1.57905, 3.39686e-06, 7.68693e-06, 30.3232 
95451.8, 0.947747, 9.34182e-06, 3.9114e-06, -11.0761 
33761.6, 1.14092, 8.7314e-06, 7.93318e-06, -9.07018 
43219.5, 0.605351, 4.47007e-06, 5.15849e-06, 2.14598 
55157, 1.68782, 4.97558e-06, 8.28163e-06, 26.2606 
37546, 1.23192, 2.11506e-06, 9.58933e-06, 21.0492 
87391.7, 1.4883, 5.31238e-06, 4.0566e-06, 18.7876 
52803.7, 1.23948, 8.30367e-06, 1.69943e-06, -3.5 
39201.4, 1.66408, 1.30098e-06, 5.77795e-06, 30.992 
31224, 0.864607, 3.25975e-06, 6.83712e-06, -13.8309 
62604.7, 1.06621, 9.06094e-06, 7.95515e-06, -0.0969952 
58351.6, 0.835787, 1.32408e-06, 3.62781e-06, -18.3914 
54787.9, 0.92598, 5.19459e-06, 4.439e-07, 9.40262 
41014.5, 0.716776, 8.90924e-06, 5.75275e-06, -1.60247 
71751.9, 1.62357, 1.26054e-06, 9.90768e-06, 40.8068 
83343.4, 1.26756, 2.10321e-07, 3.55668e-07, 40.8068 
67157.3, 1.44769, 7.22121e-06, 3.60124e-06, 10.52 
65222.8, 0.615383, 8.76629e-06, 2.9758e-07, 10.52 
47293.5, 0.814007, 5.99586e-06, 7.09318e-06, -11.446 
69703.8, 1.16598, 3.46767e-06, 4.01884e-06, 10.6879 
9244.55, 0.878165, 5.09715e-06, 1.66635e-06, 12.9971 
25193.9, 0.978845, 3.76529e-06, 7.63129e-06, -13.461 
60989.2, 0.703596, 2.44885e-06, 7.71869e-06, -17.433 
61096.6, 1.43769, 7.72538e-06, 8.56275e-06, 18.2536 
53794.6, 0.662243, 3.65746e-06, 7.84191e-06, -10.7651 
5378.53, 0.60056, 8.11676e-07, 5.20276e-07, 33.7483 
48248, 1.43402, 9.99111e-06, 4.39546e-06, 4.50327 
15477.5, 1.36323, 6.63316e-06, 7.67697e-07, 11.8219 
86124.2, 1.2285, 2.06604e-06, 6.34406e-06, 24.9274 
44921.1, 0.651802, 7.96516e-07, 6.04481e-06, -14.1751 
39706.2, 1.20438, 2.70754e-06, 1.93813e-06, -8.03451 
72357.8, 0.633292, 1.76103e-06, 8.03403e-06, -15.7591 
99336.8, 0.699053, 7.35137e-06, 5.40666e-06, -9.38539 
40646, 1.23117, 7.45997e-06, 6.97503e-06, 4.46115 
90127.2, 0.748661, 4.00373e-06, 9.01582e-06, -20.1544 
22150.6, 1.517, 1.11237e-06, 2.84198e-06, 16.592 
46315.7, 1.49431, 5.48197e-06, 1.84944e-06, 1.36352 
19070.1, 1.20231, 1.17143e-06, 1.74534e-06, -8.59788 
20798.6, 1.34183, 6.82594e-06, 8.82852e-06, 4.46121 
61589.1, 1.31438, 3.71379e-06, 7.75588e-06, 21.0035 
28799.7, 1.04816, 6.18346e-06, 4.73287e-06, -7.61942 
3241.48, 0.628416, 6.19039e-06, 5.72231e-06, 23.4739 
79450.3, 0.937626, 2.91859e-06, 1.14013e-06, -7.65018 
1362.73, 1.54908, 2.82322e-06, 3.14162e-06, 11.1571 
14775.2, 1.04971, 9.53676e-06, 6.41833e-06, -1.02499 
24205.7, 1.24707, 9.637e-06, 2.66309e-07, -1.02499 
62656.1, 1.15729, 3.58571e-07, 4.79765e-06, 30.0425 
32660.2, 1.40865, 9.09841e-06, 3.5707e-06, -5.62996 
59385.7, 0.685904, 9.98161e-06, 7.17095e-06, -4.26149 
32947.3, 1.59624, 5.97779e-06, 2.32497e-06, 2.86919 
42357.3, 0.647376, 7.07977e-06, 6.13958e-06, -0.126529 
94401.5, 0.918527, 9.6844e-06, 4.88477e-06, -12.1693 
84713.7, 1.11078, 3.8765e-06, 2.66777e-06, 2.40087 
93789.5, 0.739943, 5.93874e-07, 8.66466e-06, 5.58268 
43846.6, 0.779635, 7.02549e-06, 2.39564e-06, 1.59378 
14534.3, 0.817075, 2.48943e-06, 9.51602e-06, -11.3634 
88885.1, 1.19222, 3.21995e-06, 6.89727e-06, 21.0869 
92983.6, 1.08125, 8.73897e-06, 6.38299e-06, 5.05524 
43427.4, 1.1377, 1.23102e-06, 5.01459e-06, 17.0217 
68681.3, 0.707731, 3.12827e-06, 1.992e-07, 17.0217 
61492.3, 1.57035, 8.34592e-06, 6.60932e-06, 18.057 
35948.3, 1.63201, 5.90834e-06, 3.84855e-06, 11.4738 
50963.3, 1.31086, 9.53396e-06, 5.67316e-06, 4.7439 
82479.9, 0.622725, 1.85004e-06, 3.87014e-06, -8.24691 
1799.31, 1.34365, 6.17735e-06, 8.38763e-06, 7.91268 
43340.1, 1.52699, 4.66463e-06, 9.73663e-06, 22.9232 
14297.1, 1.19162, 7.26228e-06, 8.23794e-06, -6.9715 
49556.5, 0.860885, 3.64137e-06, 9.62295e-06, -8.78605 
21173.7, 1.54137, 2.56468e-06, 9.69099e-06, 21.8318 
80897.6, 0.886367, 9.79803e-06, 3.55386e-06, -7.1963 
60255, 1.13988, 6.56278e-06, 9.27036e-06, 11.1974 
7047.85, 1.34305, 5.21317e-06, 6.7789e-06, -3.37618 
91647.4, 1.68182, 8.10721e-06, 6.49747e-06, 24.1904 
25737.1, 1.3913, 6.46793e-06, 9.36341e-06, 10.5849 
83094, 1.26555, 7.24138e-06, 5.39412e-06, 12.1039 
81398.3, 0.759183, 5.46362e-06, 2.93503e-06, -6.98494 
91458.9, 1.3407, 3.68486e-06, 8.84407e-06, 26.7252 
43991.6, 1.15582, 5.80841e-06, 5.69506e-06, 1.60048 
7988.09, 1.57782, 8.28042e-06, 4.85636e-06, 0.742608 
60110.6, 1.41426, 8.26569e-06, 8.64915e-06, 16.9397 
56430.6, 1.68491, 6.05175e-06, 9.45176e-06, 25.9185 
72894.4, 1.47128, 7.11394e-06, 1.51704e-06, -0.264401 
88088, 1.42249, 9.7049e-06, 6.26623e-06, 16.0553 
29467.4, 0.643927, 2.70237e-06, 4.65814e-06, -1.28225 
5569.42, 1.08378, 1.79937e-06, 6.00722e-06, -6.41489 
48342.6, 1.13214, 3.31638e-06, 2.76951e-06, -5.14534 
49317, 1.61044, 2.90085e-06, 2.83161e-06, 17.6903 
61418.3, 0.76535, 6.15967e-06, 8.61213e-06, -13.6885 
9434.07, 1.33532, 7.58964e-07, 6.03563e-06, 14.2381 
80025.8, 0.997446, 7.06617e-06, 2.73305e-06, -9.47996 
25811.6, 0.738524, 4.53404e-06, 2.2273e-06, 4.64639 
874.086, 0.865784, 6.01763e-06, 6.8703e-06, 22.1424 
70026.9, 1.43214, 4.64888e-06, 5.37278e-06, 19.492 
17196.4, 1.59427, 1.12232e-06, 7.53125e-07, -1.76501 
14659.7, 1.14455, 1.34029e-06, 4.49097e-06, 0.0933976 
54723, 1.26062, 3.65122e-06, 4.86957e-06, 13.3468 
21986.2, 0.725554, 6.09956e-06, 8.04665e-06, -2.85036 
78123.1, 1.16695, 5.02355e-06, 9.67428e-06, 18.2878 
17030, 0.872788, 9.72353e-06, 8.37315e-06, -1.35582 
89964.9, 0.726903, 2.65729e-06, 8.54588e-07, -0.527775 
30874.2, 0.994209, 8.00418e-06, 5.1341e-06, -5.97487 
21925.6, 1.50964, 4.50206e-06, 4.53223e-06, 7.40584 
20757.9, 1.48191, 7.96744e-06, 1.08686e-06, 6.69795 
72264, 1.5077, 4.93447e-06, 2.51085e-07, 6.69795 
96201.7, 0.685259, 5.65553e-06, 6.50613e-06, -12.1923 
62931, 1.65905, 2.88574e-06, 8.54617e-06, 31.9312 
71052.3, 1.06787, 5.70489e-06, 8.98658e-06, 11.1216 
29846.1, 1.49942, 8.95226e-06, 4.6786e-06, 2.67869 
87623.1, 0.634471, 4.84084e-06, 5.60633e-06, -7.31486 
