R, bias, L, W, Gain [dB], UGF [Hz], PM [degrees]
97023.4,1.30026,9.94004e-06,5.5288e-06,error, error, error
96254.1,1.63412,5.88284e-06,8.8065e-06,error, error, error
87651.3,1.58407,1.4347e-06,5.49938e-07,error, error, error
21256.8,1.3665,8.00102e-07,7.58508e-06,error, error, error
94465,1.24521,9.04851e-06,7.45756e-06,error, error, error
29823.8,1.40847,1.28025e-06,6.90169e-06,error, error, error
62295.9,1.51979,3.3014e-07,7.53892e-06,error, error, error
41324.1,1.19232,4.24079e-06,9.88055e-06,error, error, error
14014,0.610465,4.29365e-06,4.82492e-06,error, error, error
54406.9,1.15937,2.28923e-06,7.93177e-06,error, error, error
63008.8,0.756364,8.11138e-06,8.05384e-07,error, error, error
14768.2,0.715876,2.00583e-06,3.75947e-06,0.810601, 4.89283e+06, 159.406
10323.2,1.06744,6.98984e-06,4.22967e-06,error, error, error
60890.2,1.22688,5.18405e-06,9.9096e-06,error, error, error
93266.3,1.3665,9.00481e-07,5.53437e-06,error, error, error
17478.2,0.628317,6.01853e-06,5.13077e-06,error, error, error
87651.3,1.58407,4.15976e-06,6.98161e-07,error, error, error
6631.02,1.13731,3.02716e-06,6.97965e-07,error, error, error
33280.6,1.14089,2.51724e-06,6.24488e-06,error, error, error
79897.1,1.27323,6.81006e-07,4.26892e-06,error, error, error
28652.2,1.63412,1.32919e-06,8.10083e-06,error, error, error
17705.7,1.11357,3.43944e-06,6.55741e-06,10.241, 3.32844e+07, 105.237
10011.9,1.18084,8.87653e-06,3.73263e-06,error, error, error
26029,0.882776,6.37819e-06,3.55118e-06,0.995978, 3.10586e+06, 152.755
13788.4,0.907102,5.91973e-06,5.16088e-06,0.113714, 1.85356e+06, 174.75
18018.2,0.738962,1.48053e-06,2.48529e-06,2.05656, 6.90664e+06, 145.697
15559.7,0.631694,1.25875e-06,4.40108e-06,error, error, error
13785.5,1.05276,6.98984e-06,4.22967e-06,error, error, error
44342.1,1.58394,4.6974e-06,6.87678e-06,error, error, error
9490.42,1.63422,8.58448e-06,1.53646e-07,error, error, error
9964.47,1.31436,7.11375e-06,6.31786e-06,2.92716, 1.57951e+07, 133.29
33343.3,0.718205,2.05068e-06,5.06718e-06,10.6777, 1.58284e+07, 106.825
90484.2,1.29217,3.4006e-07,6.22767e-06,error, error, error
52812.1,1.22428,5.23633e-06,8.13099e-06,error, error, error
14013.7,1.4882,4.06712e-06,1.77874e-06,0.390146, 3.48995e+06, 165.118
95317.7,1.24566,9.29799e-06,1.58767e-06,6.94111, 3.37191e+06, 117.908
41528.6,0.953162,2.45161e-06,1.15438e-06,4.04342, 4.79812e+06, 133.789
80552.1,1.09114,8.51092e-07,6.91575e-06,error, error, error
20186.2,1.19611,3.53196e-06,8.00674e-06,error, error, error
46884,1.67489,6.09812e-06,2.34278e-06,error, error, error
10323.2,1.07072,6.98984e-06,4.22967e-06,error, error, error
3399.63,1.64006,9.16775e-06,9.06839e-06,error, error, error
80375.4,0.917185,5.56191e-06,6.00694e-06,11.9143, 1.2665e+07, 100.995
30577.7,1.17865,8.29709e-06,3.68124e-06,5.03421, 7.7535e+06, 124.02
20152.8,1.5968,1.88738e-06,3.55947e-06,error, error, error
19623.4,0.634903,9.73612e-06,8.70361e-06,error, error, error
26175.5,1.48523,3.29617e-06,6.3851e-06,error, error, error
24846.1,1.19583,6.25656e-06,4.65196e-06,7.85272, 1.47004e+07, 111.825
66947.9,0.889175,7.15877e-06,4.60449e-06,10.6825, 7.86987e+06, 105.678
17702,1.02795,1.44032e-06,8.12348e-06,error, error, error
55741.4,1.27835,2.45563e-06,1.15438e-06,4.58239, 6.55935e+06, 128.245
41875.1,0.823653,2.42119e-06,7.43873e-06,18.0813, 3.25165e+07, 95.2147
56015.7,0.613812,8.1751e-07,9.93692e-06,16.4465, 1.91742e+07, 97.8953
46976.4,0.803079,9.4286e-06,9.13795e-06,9.43857, 9.64457e+06, 102.205
14768.2,0.767453,2.00583e-06,3.94912e-06,3.72165, 1.26268e+07, 131.419
17581.4,0.852114,1.37873e-06,5.82323e-06,13.9934, 4.58943e+07, 100.807
28407.4,1.31638,7.07964e-06,6.15474e-06,error, error, error
31593,1.69191,5.86635e-06,1.89219e-06,error, error, error
31593,0.949809,5.84189e-06,1.9625e-06,error, error, error
44246.2,1.23974,9.84655e-06,2.15848e-06,2.66889, 3.32628e+06, 138.691
28848.8,1.29529,2.94313e-06,6.8384e-06,error, error, error
15763.5,0.718743,3.72477e-07,4.30383e-06,12.2731, 4.17278e+07, 104.116
38828.8,1.42484,3.89108e-06,6.92521e-06,error, error, error
25110.8,1.60766,5.34799e-06,6.76072e-06,error, error, error
37720.4,1.67116,1.56845e-06,8.31413e-06,error, error, error
45474.9,1.24409,1.44509e-06,2.22293e-06,error, error, error
56100.3,1.05436,7.53685e-07,4.22967e-06,error, error, error
74609.8,0.823623,9.18509e-06,7.59773e-06,12.5603, 8.96862e+06, 98.2215
24954.3,1.31643,7.07964e-06,6.17473e-06,1.00472, 6.65675e+06, 152.192
17352.5,0.96527,5.99397e-06,8.79354e-06,7.80926, 2.08112e+07, 109.329
93410.9,1.3665,9.00481e-07,2.39211e-06,error, error, error
94465,1.24521,9.04851e-06,1.39505e-06,5.71021, 2.8144e+06, 129.374
33713.4,1.1994,7.10055e-06,6.16087e-06,3.69727, 1.06957e+07, 127.577
56030.6,0.613812,8.58947e-07,9.67767e-06,16.0249, 1.8206e+07, 98.3397
27006.1,1.44004,5.18474e-06,9.80676e-06,error, error, error
44772.7,1.22832,4.17015e-06,5.1302e-06,error, error, error
55421.4,0.718743,5.55279e-06,8.92224e-06,12.1776, 1.14566e+07, 99.7395
75339.6,1.6472,6.3799e-06,3.55196e-06,error, error, error
89894.1,1.33973,4.19852e-06,2.34278e-06,error, error, error
25801.8,1.54006,5.64004e-06,7.80407e-06,error, error, error
53228.2,0.922665,9.55488e-06,8.95293e-06,12.8477, 1.31073e+07, 93.5096
4960.44,0.882814,2.37324e-06,7.17666e-06,1.675, 2.21048e+07, 144.512
80238.9,0.914783,4.84917e-06,6.00815e-06,5.98816, 1.05951e+07, 117.531
19623.4,1.23949,9.50101e-06,2.08596e-06,error, error, error
77509.4,1.29082,2.98018e-06,5.93031e-06,error, error, error
95022.6,1.21187,9.16872e-06,5.94927e-06,error, error, error
84454.4,1.28014,6.75727e-06,4.60329e-06,error, error, error
56257.4,0.613812,7.88885e-06,9.6687e-06,2.71531, 2.65625e+06, 140.844
22282.7,0.926321,7.89349e-06,5.38425e-06,2.5588, 6.43376e+06, 136.949
37720.4,1.33595,3.97324e-06,8.31413e-06,error, error, error
7049.42,0.750796,8.98239e-07,1.42972e-06,error, error, error
59291.9,0.937266,8.88439e-06,7.0197e-07,error, error, error
58016.5,1.01575,4.99481e-06,7.49154e-06,error, error, error
34242.7,0.624904,8.58947e-07,8.50702e-06,11.9972, 1.81747e+07, 103.934
76084.1,1.6976,6.34574e-06,5.0841e-07,error, error, error
80912.3,1.24284,7.7054e-06,7.37391e-06,error, error, error
18536.9,1.11357,2.22285e-06,2.36664e-06,6.84474, 1.71435e+07, 116.651
24063.2,0.88839,7.38143e-06,8.31471e-06,6.95217, 1.33066e+07, 110.875
78275.1,0.957186,8.03398e-07,3.79533e-06,error, error, error
21504.9,0.966196,3.53196e-06,8.16364e-06,13.2106, 3.43172e+07, 99.3907
42159.3,0.613812,8.37339e-07,9.66327e-06,13.7221, 1.82722e+07, 101.235
56853.2,0.915322,3.14272e-06,1.19234e-06,4.13066, 3.5614e+06, 132.907
87154.3,1.47601,4.7248e-06,6.71856e-06,error, error, error
14760.9,0.939568,1.97441e-06,9.85547e-06,14.3378, 6.66042e+07, 98.7381
66820.8,0.822327,2.63541e-06,7.44036e-06,7.00118, 1.94014e+07, 114.055
32628.6,1.1793,8.97828e-06,3.66911e-06,4.90797, 7.11204e+06, 121.797
93266.3,1.36655,9.00481e-07,5.53437e-06,error, error, error
69120.6,1.07224,1.84755e-06,1.50079e-06,5.90646, 8.99334e+06, 123.075
80027.3,1.58732,6.75727e-06,4.73529e-06,error, error, error
32908.5,1.31588,8.929e-06,3.66911e-06,6.29913, 8.88285e+06, 118.344
57513.7,0.745014,3.60875e-07,5.92844e-06,16.7955, 5.95233e+07, 98.0489
86461.5,1.02961,7.01251e-06,4.59111e-06,5.32039, 6.90969e+06, 122.648
79013.9,1.07467,7.5016e-06,5.47437e-06,error, error, error
5987.92,1.15937,2.35474e-06,8.01625e-06,8.06698, 6.38313e+07, 111.414
25591.7,1.6921,6.43858e-06,5.07574e-06,error, error, error
5787.25,1.14908,1.88908e-06,8.01625e-06,9.15439, 7.83132e+07, 108.693
60375.9,1.07113,9.42739e-06,2.36664e-06,4.47432, 3.56418e+06, 129.605
14674.5,0.943497,9.18301e-06,9.10991e-06,2.67061, 1.01469e+07, 130.817
83701.1,0.941753,5.61398e-06,6.00694e-06,3.82001, 7.8888e+06, 129.451
52812.1,1.20682,5.19945e-06,2.1013e-06,8.66884, 7.84339e+06, 112.805
74923.3,1.24414,9.79183e-06,2.34103e-06,7.87875, 4.90333e+06, 116.254
10875.7,1.15937,2.39902e-06,5.87034e-06,9.60458, 4.56507e+07, 107.913
33144.7,1.27886,2.21563e-06,6.37871e-06,error, error, error
33938.7,1.02437,4.06205e-06,2.26967e-06,5.5682, 7.63931e+06, 123.165
82915.7,1.34483,6.59483e-06,6.18126e-06,error, error, error
24060.8,1.14315,6.25656e-06,4.64322e-06,7.02803, 1.34438e+07, 114.147
87454.4,0.957879,6.8264e-06,4.60449e-06,14.3307, 9.70028e+06, 98.4373
29608,1.19252,7.89349e-06,5.41276e-06,8.68483, 1.38775e+07, 108.298
17581.4,0.852114,1.08658e-06,5.82323e-06,15.5501, 5.58449e+07, 98.998
33343.3,0.933819,7.38129e-06,4.72551e-06,5.53971, 7.72452e+06, 121.27
46976.4,0.791098,9.4286e-06,4.36282e-06,2.43058, 2.94706e+06, 147.44
15754.1,0.718003,3.72477e-07,4.30383e-06,12.2056, 4.13954e+07, 104.118
66846.7,0.894275,7.15224e-06,1.15438e-06,error, error, error
32908.5,0.719954,5.55043e-06,3.66911e-06,error, error, error
13554.7,0.915353,2.50028e-06,1.15438e-06,error, error, error
84354.9,0.954949,6.84121e-06,4.49409e-06,13.8994, 9.41143e+06, 98.7183
