R, bias, L, W, Gain
19764.6, 2.44372, 1.06986e-05, 7.88809e-06, -4.93452 
39468.3, 2.6504, 4.97027e-06, 1.00505e-05, 13.7711 
13471.6, 1.40412, 1.21276e-05, 1.08562e-05, 3.66626 
27175, 2.17612, 1.14269e-05, 7.40025e-06, -5.44932 
47188.9, 3.44881, 1.73306e-05, 1.44443e-05, 14.6088 
80393.5, 2.01908, 1.27183e-05, 9.80396e-06, -15.6178 
99647, 2.66823, 1.41142e-05, 2.07404e-06, -5.05256 
67483.5, 1.68587, 1.30845e-05, 1.36194e-05, -14.5985 
84518.1, 0.82307, 9.01898e-06, 1.03168e-05, 18.1148 
74464.9, 0.962142, 2.3983e-06, 8.50538e-06, -12.9565 
48924.2, 1.06632, 3.99206e-06, 1.37066e-05, -12.9318 
99106.2, 3.9708, 1.73179e-06, 1.79073e-05, 48.9032 
92831, 3.03787, 3.09406e-06, 1.84298e-05, 36.7818 
61642.7, 1.51119, 1.5602e-05, 7.80791e-06, -5.63225 
22895.3, 3.11773, 1.1983e-06, 7.77698e-06, 25.5786 
32340.9, 3.47393, 8.4467e-06, 1.60017e-05, 19.2927 
6926.75, 1.15316, 2.9471e-06, 7.5508e-06, 4.5515 
31592.3, 0.931881, 9.14945e-06, 1.67568e-05, 2.60304 
32457.9, 1.37011, 1.99342e-05, 6.86918e-06, 5.01702 
45813, 3.16117, 8.31314e-06, 5.85667e-06, 8.65729 
48230.5, 1.7876, 1.76303e-05, 1.9945e-05, -13.3601 
63205.3, 2.4465, 1.1469e-05, 2.59608e-06, -4.16355 
30608.7, 3.57984, 8.28501e-06, 1.1243e-05, 16.0499 
13336.2, 2.92002, 1.10669e-05, 1.45585e-05, -8.12167 
6246.48, 3.88589, 9.28542e-06, 4.8929e-06, 4.83083 
80256.6, 2.3994, 4.38812e-06, 1.03893e-05, 20.1312 
38022.5, 1.93373, 5.85357e-06, 7.75611e-06, -12.8204 
96832.2, 1.37887, 7.04399e-06, 7.98393e-06, -14.9428 
79400.3, 2.81613, 1.43521e-05, 5.83158e-06, 3.51774 
93685.9, 2.05752, 1.28882e-05, 4.61122e-06, -10.2234 
75129.1, 1.92815, 1.57497e-05, 9.51609e-06, -12.5018 
42870.5, 3.41002, 1.49083e-05, 1.13315e-05, 12.0872 
20383.8, 2.94469, 1.87527e-05, 9.95135e-06, -4.37123 
96069.5, 0.612133, 1.85411e-05, 1.30225e-05, 52.7702 
22401.6, 1.60408, 1.28899e-05, 1.80357e-05, -6.96878 
24566.8, 3.56114, 2.62028e-06, 1.08014e-05, 24.8305 
12647.8, 1.89544, 1.03688e-05, 3.17331e-06, 9.84985 
55313.9, 3.35931, 4.54435e-06, 1.38871e-05, 28.2229 
66559.8, 2.9326, 1.48023e-05, 2.94177e-06, -5.36212 
91302.3, 0.647647, 6.775e-06, 1.26553e-05, 38.6824 
27778.9, 3.69081, 1.58959e-05, 7.61868e-06, 3.43651 
25464.9, 3.18442, 1.73924e-05, 3.95597e-06, 0.819225 
64444.8, 2.86683, 8.20169e-06, 5.51511e-06, 8.71219 
6727.43, 0.654184, 4.51391e-06, 7.8279e-06, 61.8124 
31915.5, 2.22477, 2.09544e-06, 5.4842e-06, 5.69325 
91525, 3.31088, 1.07893e-05, 1.99576e-05, 27.7961 
1731.91, 3.26406, 3.97972e-06, 1.38667e-05, 1.83356 
53819.3, 3.99885, 6.34441e-06, 1.91611e-05, 31.9365 
58852.1, 3.44571, 1.86237e-05, 3.42596e-06, -5.1248 
30720, 3.7016, 1.67369e-05, 7.51e-06, 4.11998 
73720.7, 2.11397, 8.03302e-06, 1.3785e-05, 11.0023 
54625.4, 2.89451, 1.87197e-05, 1.65096e-05, 11.2598 
15068.3, 0.871666, 1.64367e-06, 7.35547e-06, 4.66544 
55947.4, 1.37721, 1.13049e-05, 1.19097e-05, -9.77829 
58166.9, 3.06128, 1.25392e-05, 1.17915e-05, 14.4471 
36855.1, 1.58022, 1.50405e-05, 1.43942e-05, -7.73914 
26266.2, 0.97262, 1.10443e-05, 7.74935e-06, 11.1058 
19899.8, 2.39975, 1.83659e-05, 8.981e-06, -1.58342 
48779.9, 1.68046, 4.22865e-06, 1.34308e-05, -0.438304 
85788.8, 1.07907, 1.09731e-05, 4.45064e-06, 1.96821 
61924.4, 1.87033, 7.85138e-06, 8.55194e-06, -15.1737 
35537.6, 1.71931, 1.50667e-05, 1.98096e-05, -11.4613 
1316.89, 3.34813, 4.36159e-06, 9.82755e-06, 7.64404 
38095.6, 1.18491, 4.36581e-06, 1.71448e-05, -14.8569 
53656.8, 1.94315, 7.88563e-06, 1.7637e-05, 6.09716 
29192.2, 1.67543, 1.67562e-05, 1.74719e-05, -7.38675 
90741.3, 3.26464, 1.46183e-05, 1.45638e-05, 21.493 
85984.2, 3.32763, 1.96617e-05, 1.09232e-05, 15.5719 
81850, 1.99592, 5.57926e-06, 5.68386e-06, -2.00421 
3688.27, 2.46075, 1.11622e-05, 8.39634e-06, 9.32235 
55901.5, 3.04406, 1.14879e-05, 5.63474e-06, 4.70069 
71150.9, 2.42813, 1.04751e-05, 1.43138e-05, 13.2404 
222.281, 2.96728, 4.49368e-06, 2.27251e-06, 37.3023 
